Channel 1,Channel 2,Channel 3
0,0,-2
0,0,-1
0,0,-1
0,0,-1
0,0,-2
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,0
0,0,-2
0,0,-2
90,0,751
90,1,449
90,4,269
90,5,178
90,8,109
90,12,57
90,17,27
90,21,7
90,26,-11
90,31,-22
90,37,-38
90,41,-34
90,44,-29
90,48,-32
90,51,-25
90,54,-21
90,56,-14
90,58,-8
90,60,-8
90,62,-6
90,63,-2
90,64,2
90,65,4
90,66,4
90,68,3
90,69,3
90,70,2
90,71,3
90,72,4
90,73,3
90,73,4
90,74,3
90,75,6
90,75,7
90,76,9
90,77,6
90,78,4
90,78,9
90,78,11
90,78,9
90,79,8
90,79,10
90,80,7
90,80,5
90,81,5
90,81,5
90,82,7
90,82,8
90,82,8
90,83,5
90,83,11
90,83,9
90,83,11
90,83,11
90,83,8
90,84,9
90,84,5
90,84,8
90,84,9
90,85,7
90,85,7
90,86,4
90,86,4
90,86,4
90,87,3
90,87,7
90,87,6
90,87,6
90,87,6
90,87,9
90,87,10
90,87,8
90,87,8
90,87,8
90,88,6
90,88,4
90,88,7
90,88,10
90,88,10
90,88,8
90,88,7
90,88,10
90,88,9
90,88,8
90,88,6
90,88,7
90,89,5
90,89,4
90,89,3
90,89,6
90,88,16
90,88,18
90,88,14
90,88,11
90,88,8
90,88,7
90,89,4
90,89,5
90,89,6
90,89,3
90,90,2
90,90,5
90,90,7
90,90,7
90,90,7
90,90,7
90,90,6
90,90,9
90,89,11
90,89,12
90,89,10
90,89,7
90,89,8
90,89,8
90,89,8
90,90,5
90,90,5
90,90,9
90,89,11
90,89,9
90,90,7
90,90,7
90,90,7
90,90,8
90,90,6
90,90,4
90,90,6
90,90,5
90,90,5
90,91,3
90,91,2
90,91,3
90,91,6
90,91,8
90,90,15
90,89,21
90,87,28
90,87,20
90,88,13
90,88,7
90,89,3
90,89,1
90,91,-8
90,92,-11
90,92,-5
90,92,0
90,92,2
90,92,4
90,92,5
90,92,7
90,92,7
90,92,7
90,92,8
90,91,8
90,91,9
90,91,11
90,91,11
90,91,9
90,91,8
90,91,6
90,91,4
90,91,4
90,91,6
90,91,7
90,91,8
90,91,8
90,91,6
90,91,4
90,92,3
90,92,2
90,92,-1
90,93,-2
90,93,-3
90,93,-1
90,94,-3
90,94,-1
90,94,0
90,94,1
90,94,2
90,94,3
90,94,2
90,94,3
90,94,3
90,94,3
90,94,3
90,95,2
90,95,3
90,95,3
90,95,3
90,95,3
90,95,3
90,95,3
90,95,3
90,95,3
90,94,4
90,94,4
90,94,4
90,94,4
90,94,5
90,94,5
90,94,4
90,94,4
90,94,4
90,94,5
90,94,5
90,94,5
90,94,5
90,94,4
90,93,5
90,93,5
90,93,4
90,93,5
90,93,5
90,93,5
90,93,5
90,93,5
90,93,6
90,93,6
90,93,6
90,93,6
90,92,6
90,92,6
90,92,6
90,92,6
90,92,6
90,92,7
90,92,8
90,91,11
90,91,12
90,90,18
90,88,26
90,87,26
90,87,18
90,88,12
90,88,9
90,89,1
90,90,-6
90,90,-4
90,90,-1
90,91,-1
90,91,-2
90,91,1
90,92,0
90,92,0
90,92,-1
90,92,2
90,92,5
90,92,7
90,91,8
90,91,8
90,91,8
90,91,8
90,91,7
90,91,7
90,91,6
90,91,5
90,91,3
90,91,2
90,92,2
90,92,-1
90,92,0
90,93,0
90,93,0
90,93,0
90,93,1
90,93,1
0,93,-750
0,95,-475
0,95,-310
0,94,-198
0,93,-142
0,92,-102
0,87,-55
0,83,-25
0,76,13
0,68,43
0,61,58
0,55,60
0,50,55
0,47,40
0,44,30
0,42,22
0,41,6
0,40,-4
0,38,-2
0,36,-4
0,34,7
0,32,3
0,31,0
0,30,-4
0,28,-3
0,27,-4
0,26,-3
0,25,-3
0,23,4
0,22,0
0,21,3
0,20,0
0,19,-1
0,18,-4
0,17,-2
0,17,-3
0,16,-2
0,15,-1
0,14,-2
0,14,-6
0,13,-2
0,13,-5
0,12,-6
0,12,-7
0,12,-6
0,11,-8
0,11,-5
0,10,-3
0,6,24
0,7,9
0,6,9
0,5,7
0,5,3
0,5,-2
0,5,-4
0,4,-1
0,4,0
0,3,1
0,3,1
0,2,0
0,2,0
0,2,1
0,1,2
0,1,2
0,1,1
0,0,1
0,0,2
0,0,2
0,-1,2
0,-1,2
0,-1,3
0,-2,2
0,-2,2
0,-2,3
0,-2,3
0,-3,3
0,-3,3
0,-3,3
0,-3,4
0,-4,4
0,-4,4
0,-4,4
0,-4,4
0,-5,4
0,-5,4
0,-5,4
0,-5,5
0,-5,5
0,-6,6
0,-6,6
0,-6,6
0,-6,7
0,-7,7
0,-7,7
0,-7,7
0,-7,7
0,-8,8
0,-8,8
0,-8,7
0,-8,7
0,-8,7
0,-9,8
0,-9,8
0,-9,8
0,-9,9
0,-9,9
0,-10,9
0,-10,8
0,-10,7
0,-10,9
0,-11,13
0,-11,10
0,-11,8
0,-10,6
0,-10,6
0,-10,6
0,-11,9
0,-11,10
0,-11,8
0,-11,8
0,-11,8
0,-11,13
0,-12,15
0,-12,10
0,-12,9
0,-12,8
0,-11,3
0,-10,1
0,-10,1
0,-11,8
0,-10,6
0,-10,7
0,-10,8
0,-11,12
0,-11,8
0,-11,8
0,-11,7
0,-10,5
0,-10,5
0,-10,5
0,-10,4
0,-10,8
0,-10,10
0,-10,6
0,-10,8
0,-10,8
0,-11,18
0,-12,21
0,-12,13
0,-11,8
0,-10,3
0,-10,1
0,-9,-1
0,-9,-2
0,-9,1
0,-11,26
0,-10,8
0,-9,-3
0,-8,-1
0,-8,-4
0,-7,-1
0,-7,2
0,-7,4
0,-7,5
0,-7,3
0,-7,6
0,-7,7
0,-7,8
0,-7,8
