magx,magy,magz
0.2969,-0.1919,-0.9355
0.3122,-0.2206,-0.924
0.3079,-0.2353,-0.9219
0.3206,-0.2526,-0.9129
0.3206,-0.2526,-0.9129
0.294,-0.2732,-0.9159
0.2751,-0.276,-0.9209
0.2578,-0.2802,-0.9247
0.2608,-0.2981,-0.9182
0.2608,-0.2981,-0.9182
0.2553,-0.3063,-0.9171
0.2461,-0.2973,-0.9225
0.2461,-0.3114,-0.9179
0.2289,-0.331,-0.9155
0.2289,-0.331,-0.9155
0.222,-0.3197,-0.9212
0.208,-0.3239,-0.9229
0.1715,-0.3053,-0.9367
0.1647,-0.2937,-0.9416
0.1647,-0.2937,-0.9416
0.164,-0.2961,-0.941
0.1592,-0.2925,-0.9429
0.1658,-0.2846,-0.9442
0.151,-0.2902,-0.945
0.151,-0.2902,-0.945
0.1445,-0.2771,-0.9499
0.1535,-0.2677,-0.9512
0.1448,-0.2585,-0.9551
0.1359,-0.2298,-0.9637
0.1359,-0.2298,-0.9637
0.1359,-0.1998,-0.9704
0.1273,-0.2029,-0.9709
0.1333,-0.182,-0.9742
0.1478,-0.1863,-0.9713
0.1478,-0.1863,-0.9713
0.1534,-0.1877,-0.9702
0.1788,-0.1756,-0.9681
0.1592,-0.1749,-0.9716
0.166,-0.1397,-0.9762
0.166,-0.1397,-0.9762
0.1707,-0.1332,-0.9763
0.1913,-0.1311,-0.9727
0.1966,-0.1214,-0.9729
0.2232,-0.1291,-0.9662
0.2232,-0.1291,-0.9662
0.2155,-0.1511,-0.9647
0.2192,-0.1441,-0.965
0.2316,-0.1341,-0.9635
0.2384,-0.1519,-0.9592
0.2384,-0.1519,-0.9592
0.2647,-0.1366,-0.9546
0.2828,-0.1307,-0.9502
0.2904,-0.1513,-0.9449
0.2968,-0.1675,-0.9402
0.2968,-0.1675,-0.9402
0.2922,-0.1662,-0.9418
0.2849,-0.1775,-0.942
0.2879,-0.1988,-0.9368
0.285,-0.2159,-0.9339
0.285,-0.2159,-0.9339
0.2926,-0.2055,-0.9339
0.3178,-0.2199,-0.9223
0.3035,-0.2494,-0.9196
0.2991,-0.2591,-0.9184
0.2991,-0.2591,-0.9184
0.2916,-0.2853,-0.913
0.2844,-0.2817,-0.9164
0.273,-0.2848,-0.9189
0.2357,-0.2838,-0.9295
0.2357,-0.2838,-0.9295
0.2592,-0.2853,-0.9227
0.2439,-0.3126,-0.918
0.2259,-0.3107,-0.9233
0.2251,-0.3205,-0.9201
0.2251,-0.3205,-0.9201
0.2239,-0.311,-0.9237
0.198,-0.3203,-0.9264
0.1848,-0.3115,-0.9321
0.1725,-0.2992,-0.9385
0.1725,-0.2992,-0.9385
0.1783,-0.2945,-0.9389
0.1645,-0.2667,-0.9496
0.1474,-0.2698,-0.9516
0.1601,-0.2715,-0.949
0.1601,-0.2715,-0.949
0.1527,-0.264,-0.9523
0.1365,-0.2703,-0.9531
0.1352,-0.253,-0.958
0.1503,-0.2215,-0.9635
0.1503,-0.2215,-0.9635
0.1401,-0.2155,-0.9664
0.1273,-0.2029,-0.9709
0.1438,-0.1974,-0.9697
0.1585,-0.178,-0.9712
0.1419,-0.1874,-0.972
0.1419,-0.1874,-0.972
0.143,-0.1856,-0.9722
0.1543,-0.1775,-0.972
0.1485,-0.1604,-0.9758
0.1788,-0.1298,-0.9753
0.1788,-0.1298,-0.9753
0.1943,-0.1261,-0.9728
0.2009,-0.1248,-0.9716
0.2224,-0.1286,-0.9664
0.2094,-0.1337,-0.9686
0.2094,-0.1337,-0.9686
0.2245,-0.1213,-0.9669
0.2262,-0.1455,-0.9632
0.2407,-0.1396,-0.9605
0.2438,-0.1384,-0.9599
0.2438,-0.1384,-0.9599
0.2574,-0.1263,-0.958
0.2884,-0.1503,-0.9456
0.2951,-0.167,-0.9407
0.2862,-0.1753,-0.942
0.2862,-0.1753,-0.942
0.2936,-0.1878,-0.9373
0.3147,-0.2006,-0.9277
0.2784,-0.2169,-0.9356
0.2908,-0.2147,-0.9324
0.2908,-0.2147,-0.9324
0.3041,-0.2138,-0.9283
0.2958,-0.2341,-0.9261
0.3073,-0.2682,-0.913
0.3022,-0.2887,-0.9085
0.3022,-0.2887,-0.9085
0.2866,-0.2948,-0.9116
0.273,-0.2919,-0.9167
0.2549,-0.3029,-0.9183
0.2553,-0.2956,-0.9206
0.2553,-0.2956,-0.9206
0.2281,-0.3117,-0.9224
0.242,-0.2893,-0.9261
0.2315,-0.32,-0.9187
0.2107,-0.3162,-0.925
0.2107,-0.3162,-0.925
0.2107,-0.3162,-0.925
0.1842,-0.3212,-0.9289
0.1683,-0.3178,-0.9331
0.168,-0.3079,-0.9365
0.168,-0.3079,-0.9365
0.1689,-0.297,-0.9398
0.1671,-0.2614,-0.9507
0.1651,-0.2613,-0.951
0.1413,-0.267,-0.9533
0.1413,-0.267,-0.9533
0.1421,-0.2596,-0.9552
0.124,-0.2582,-0.9581
0.1213,-0.2452,-0.9619
0.1215,-0.2381,-0.9636
0.1215,-0.2381,-0.9636
0.1275,-0.2144,-0.9684
0.145,-0.1902,-0.971
0.1416,-0.1831,-0.9728
0.1589,-0.1782,-0.9711
0.1589,-0.1782,-0.9711
0.1574,-0.1767,-0.9716
0.1617,-0.1622,-0.9734
0.15,-0.1619,-0.9753
0.1712,-0.1293,-0.9767
0.1712,-0.1293,-0.9767
0.1822,-0.1409,-0.9731
0.1993,-0.13,-0.9713
0.2067,-0.1267,-0.9702
0.2235,-0.1178,-0.9675
0.2235,-0.1178,-0.9675
0.2074,-0.1513,-0.9665
0.1178,-0.2097,-0.9706
0.0774,-0.2448,-0.9665
-0.002,-0.2222,-0.975
-0.002,-0.2222,-0.975
-0.0471,-0.1664,-0.9849
-0.0634,-0.0636,-0.996
-0.0022,0.0958,-0.9954
0.1708,0.2026,-0.9643
0.1708,0.2026,-0.9643
0.419,0.1876,-0.8884
0.5804,-0.0187,-0.8141
0.6016,-0.2642,-0.7539
0.4245,-0.466,-0.7763
0.4245,-0.466,-0.7763
0.212,-0.5109,-0.8331
0,-0.3733,-0.9277
-0.0842,-0.1099,-0.9904
0.0022,0.1315,-0.9913
0.0022,0.1315,-0.9913
0.1756,0.2677,-0.9474
0.3521,0.2831,-0.8921
0.5067,0.247,-0.826
0.6289,0.14,-0.7648
0.6289,0.14,-0.7648
0.6787,-0.0557,-0.7323
0.6838,-0.2202,-0.6956
0.6986,-0.2309,-0.6772
0.7038,-0.2465,-0.6662
0.7038,-0.2465,-0.6662
0.709,-0.2729,-0.6502
0.7372,-0.2865,-0.6119
