wx,wy,wz
18,6,-27
23,30,-26
27,14,-29
16,0,-13
-10,0,15
-24,-15,27
-25,-17,29
-17,-10,16
3,-7,-10
17,19,-12
26,15,-30
33,-4,-26
15,-2,-4
-7,-11,2
-24,-9,12
-36,1,12
-22,10,12
3,13,16
29,8,17
33,0,18
12,-16,17
-16,-14,15
-33,-2,13
-26,10,12
-2,19,15
24,18,15
33,-1,18
19,-6,18
-8,-11,14
-31,-6,13
-32,5,12
-9,23,14
23,29,15
38,15,18
28,0,18
-2,-11,16
-29,-9,13
-35,3,14
-15,13,13
15,14,15
35,7,17
29,-6,19
1,-14,17
-27,-12,13
-38,0,13
-22,11,13
7,16,16
31,10,17
32,-2,18
4,-15,18
-25,-13,15
-36,-1,13
-22,10,13
7,16,15
31,10,17
32,-2,18
11,-12,17
-18,-15,15
-35,-5,13
-27,7,13
0,14,13
27,11,-59
38,-3,-147
29,-21,-233
10,-34,-318
-2,-35,-401
4,-27,-481
24,-17,-557
51,-12,-629
65,-19,-701
64,-37,-772
50,-59,-840
40,-72,-907
39,-71,-972
49,-52,-1037
60,-36,-1100
78,-30,-1156
83,-44,-1212
90,-68,-1266
90,-94,-1319
85,-101,-1370
78,-89,-1422
71,-70,-1472
70,-58,-1522
82,-58,-1567
103,-71,-1609
122,-87,-1651
130,-98,-1691
122,-104,-1734
102,-106,-1776
83,-107,-1815
84,-107,-1854
102,-96,-1892
120,-86,-1924
137,-79,-1959
138,-90,-1991
136,-110,-2022
135,-134,-2052
131,-143,-2082
126,-132,-2112
118,-114,-2145
111,-102,-2173
116,-101,-2200
135,-107,-2224
158,-113,-2246
171,-118,-2270
167,-125,-2293
149,-137,-2316
133,-151,-2338
128,-153,-2362
132,-141,-2384
138,-118,-2404
143,-105,-2425
149,-105,-2443
162,-122,-2459
179,-139,-2474
187,-150,-2492
179,-152,-2509
157,-153,-2528
138,-157,-2547
136,-155,-2563
147,-145,-2578
160,-126,-2592
168,-114,-2607
172,-118,-2619
179,-140,-2630
190,-160,-2641
193,-168,-2653
185,-165,-2665
162,-161,-2678
145,-160,-2693
143,-158,-2704
158,-146,-2715
174,-131,-2725
185,-121,-2734
188,-130,-2742
190,-151,-2752
198,-172,-2760
197,-180,-2767
186,-175,-2779
167,-167,-2789
151,-162,-2799
154,-159,-2809
169,-152,-2817
187,-140,-2823
195,-131,-2829
198,-141,-2835
199,-161,-2840
202,-179,-2845
202,-184,-2850
192,-178,-2858
173,-172,-2866
157,-166,-2875
160,-163,-2881
177,-153,-2886
193,-141,-2891
202,-135,-2894
201,-147,-2899
204,-166,-2903
208,-184,-2906
207,-188,-2909
195,-182,-2917
175,-175,-2923
163,-171,-2929
166,-167,-2934
182,-157,-2938
197,-145,-2941
203,-140,-2943
205,-152,-2945
208,-171,-2946
213,-187,-2947
211,-189,-2952
196,-184,-2956
177,-179,-2961
167,-176,-2966
172,-171,-2970
186,-159,-2972
197,-145,-2972
202,-143,-2974
205,-154,-2974
211,-173,-2973
217,-185,-2975
213,-187,-2976
198,-184,-2980
179,-182,-2982
170,-180,-2986
176,-174,-2986
189,-161,-2988
197,-146,-2990
199,-145,-2990
205,-157,-2988
213,-173,-2985
221,-183,-2987
215,-184,-2987
199,-183,-2989
181,-185,-2991
173,-185,-2994
179,-177,-2996
190,-160,-2995
195,-146,-2997
196,-145,-2997
202,-159,-2995
214,-174,-2993
224,-181,-2991
217,-181,-2991
198,-182,-2991
181,-187,-2993
176,-189,-2992
182,-179,-2993
189,-160,-2993
189,-145,-2992
190,-147,-2990
200,-159,-2988
215,-173,-2983
224,-178,-2981
216,-177,-2979
196,-181,-2978
181,-190,-2979
178,-192,-2980
182,-179,-2982
185,-159,-2981
184,-145,-2981
187,-147,-2978
199,-159,-2976
215,-169,-2972
224,-172,-2968
215,-173,-2969
198,-180,-2966
184,-192,-2966
180,-194,-2966
183,-179,-2966
184,-158,-2968
180,-145,-2967
185,-152,-2965
202,-161,-2963
220,-167,-2959
223,-167,-2958
210,-169,-2957
193,-183,-2958
184,-196,-2957
185,-191,-2958
186,-174,-2958
179,-153,-2960
174,-147,-2959
183,-155,-2957
203,-161,-2953
220,-162,-2951
221,-161,-2949
205,-170,-2949
192,-185,-2947
186,-197,-2948
188,-190,-2947
185,-171,-2949
175,-155,-2949
169,-151,-2948
181,-156,-2944
202,-158,-2941
217,-156,-2938
215,-156,-2936
203,-168,-2933
193,-188,-2930
191,-197,-2930
190,-189,-2930
182,-169,-2932
170,-154,-2931
166,-153,-2930
180,-158,-2929
204,-158,-2925
217,-151,-2923
213,-153,-2920
199,-166,-2919
192,-188,-2918
194,-195,-2916
192,-184,-2916
178,-166,-2918
164,-155,-2917
163,-157,-2917
180,-159,-2913
203,-152,-2911
215,-145,-2908
207,-148,-2906
198,-168,-2904
196,-190,-2901
200,-194,-2901
195,-180,-2902
176,-164,-2904
160,-157,-2904
162,-162,-2904
183,-162,-2900
205,-150,-2897
212,-139,-2897
202,-146,-2895
195,-170,-2893
197,-192,-2890
201,-194,-2888
193,-176,-2889
170,-163,-2891
153,-162,-2891
161,-164,-2889
185,-160,-2887
204,-147,-2883
207,-140,-2882
199,-150,-2879
194,-173,-2878
200,-192,-2875
203,-189,-2875
191,-174,-2876
168,-163,-2879
155,-163,-2880
165,-165,-2878
188,-157,-2875
204,-143,-2874
202,-136,-2873
195,-149,-2871
193,-175,-2868
202,-191,-2866
204,-186,-2866
189,-170,-2867
165,-162,-2870
154,-165,-2871
167,-168,-2870
191,-156,-2869
204,-138,-2867
199,-133,-2866
192,-150,-2865
193,-177,-2862
205,-190,-2859
206,-183,-2860
187,-166,-2861
162,-161,-2863
153,-166,-2863
168,-168,-2807
188,-152,-2727
191,-132,-2648
175,-129,-2575
157,-149,-2501
150,-168,-2428
150,-169,-2359
146,-146,-2294
126,-119,-2230
106,-105,-2167
101,-107,-2105
117,-114,-2042
149,-109,-1980
146,-98,-1922
132,-93,-1866
106,-102,-1812
83,-117,-1759
81,-120,-1708
163,-43,-1498
228,62,-1170
121,12,-977
-9,-105,-788
-77,-198,-591
-31,-97,-272
29,21,-16
-6,5,17
-29,-25,30
-25,-33,49
-19,-32,21
1,-2,12
19,23,-6
26,15,-54
37,28,-31
16,23,-12
-4,-4,12
-28,-20,41
-25,-46,33
-22,-25,48
-10,0,23
15,3,-20
19,38,-34
25,33,-37
16,19,-25
2,3,13
-19,-25,33
-23,-49,23
-35,-1,44
-8,10,28
12,16,5
19,48,25
9,46,33
-10,0,22
-15,-39,39
-11,-33,61
-2,-4,80
-15,3,39
-1,4,12
10,39,31
13,56,49
3,37,69
-9,-12,89
-17,-43,109
-18,-42,127
-11,-4,142
-1,42,157
0,60,173
-6,46,191
-15,4,210
-22,-36,227
-21,-43,243
-17,-11,258
-13,33,255
-19,53,230
-8,56,246
1,31,257
0,-6,265
-9,-26,280
-22,-20,292
-28,10,304
-22,53,315
-17,62,329
-9,41,343
-26,-2,320
-26,-30,322
-10,-15,338
-4,23,348
-15,48,342
-60,38,267
-67,11,216
-46,-6,148
-28,-2,32
38,2,-27
85,7,-78
94,0,-103
53,-8,-90
-13,-16,-80
-69,-18,-73
-75,-12,-63
-16,3,-38
37,9,-40
60,4,-45
46,-3,-55
6,-9,-51
-36,-8,-40
-26,-1,6
-15,-2,20
-7,7,25
0,-4,2
5,-3,-15
24,2,-4
29,18,7
7,15,17
-18,2,32
-39,-13,21
-26,-14,27
4,-2,31
31,13,30
32,15,25
13,12,23
-21,-3,22
-39,-14,21
-25,-7,26
-2,-4,26
23,6,29
31,14,29
18,13,28
-12,3,20
-33,-8,14
-28,-13,16
0,-3,19
27,8,19
34,16,19
7,9,-2
-8,-4,-2
-19,-4,0
-22,-2,0
-12,-1,0
9,6,3
20,5,4
18,1,3
1,-2,2
-17,-7,1
-24,-6,1
-14,-3,1
3,2,2
22,8,2
21,3,4
6,-3,3
-10,-2,1
-14,-2,11
-15,-8,11
0,1,13
9,2,12
17,8,13
10,5,11
-4,-2,12
-15,2,16
-20,-10,3
-12,1,7
1,0,5
10,-4,-11
20,1,-8
17,-4,-16
4,0,-18
-11,2,-19
-10,7,-16
-2,5,-15
3,-2,-13
16,14,-2
6,-10,-27
1,-19,-19
-6,-15,-18
-7,0,-21
-5,11,-21
8,10,-9
10,-3,-18
8,-1,-6
-6,-11,-9
-10,-3,-11
-15,1,-10
-3,9,-11
6,8,-9
14,1,-8
13,-4,-7
4,-5,-8
-6,-3,-10
-12,2,-11
0,19,-11
14,24,-10
19,13,-8
17,1,-8
8,-3,-8
-5,-2,-9
-11,1,-10
-8,5,-10
1,7,-9
11,3,-8
14,-2,-8
7,-5,-7
-5,-5,-9
-12,-1,-9
-10,3,-10
-1,4,-9
8,3,-8
13,0,-7
10,-3,-7
-1,-4,-8
-10,-1,-7
-11,1,-9
